Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
Assam State Transport Corporation (ASTC) - 154930,Volvo AC Seater 2+2,15:45,20:00,04h 15m,INR 298,1 Seat available,"3.4
47",https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
Chartered Bus - ASTC,Volvo AC Seater Pushback 2+2,13:00,17:00,04h 00m,INR 389.13,11 Seats available,"4.7
491",https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
BARBIE TRAVELS,A/C Seater Push Back (2+2),13:10,17:50,04h 40m,INR 350,29 Seats available,"4.1
4",https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
Chartered Bus - ASTC,Volvo Multi-Axle I-Shift B11R Semi Sleeper (2+2),15:30,19:15,03h 45m,INR 465.15,4 Seats available,"4.6
486",https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
BLUE HILL TRAVELS INDIA LIMITED,NON A/C Seater Semi Sleeper (2+1),22:15,03:45,05h 30m,450,8 Seats available,"3.3
26",https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
Himalayan Travels,NON A/C Seater (2+2),23:40,04:00,04h 20m,450,30 Seats available,"1.8
16",https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
Assam State Transport Corporation (ASTC) - 139720,Volvo AC Seater 2+2,13:45,18:00,04h 15m,INR 298,15 Seats available,"4.3
38",https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
Orient Transline,A/C Seater (2+1),13:00,17:00,04h 00m,INR 380.95,11 Seats available,"5.0
8",https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
Mahi Travels(Under ASTC),A/C Seater (2+2),14:15,17:50,03h 35m,389,32 Seats available,"4.5
139",https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
AdKalpana Travels,AC Seater (2+2),16:50,20:15,03h 25m,342,33 Seats available,"4.9
38",https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
Mahalaxmi Travels,A/C Seater (2+2),14:35,18:15,03h 40m,INR 300,28 Seats available,"3.8
24",https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
WARISPIYA TRAVELS,AC Seater (2+2),15:00,18:40,03h 40m,INR 360,19 Seats available,"4.5
377",https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
WARISPIYA TRAVELS,AC Seater (2+2),15:35,19:15,03h 40m,INR 360,24 Seats available,"4.0
331",https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
Yatra Travels,NON A/C Seater (2+1),18:00,23:30,05h 30m,400,25 Seats available,"3.7
24",https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
WARISPIYA TRAVELS,Bharat Benz A/C Seater (2+2),16:15,19:40,03h 25m,INR 360,24 Seats available,"4.2
419",https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
