Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
Bedi Travels,Volvo A/C Semi Sleeper (2+2),23:00,08:00,09h 00m,INR 550,19 Seats available,"4.7
761",https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla
Laxmi holidays,Volvo Multi-Axle A/C Semi Sleeper (2+2),23:30,08:00,08h 30m,INR 499,34 Seats available,"4.4
808",https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla
Laxmi holidays,Volvo A/C Semi Sleeper (2+2),23:25,07:45,08h 20m,522,19 Seats available,"4.4
665",https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla
AdFlixBus,Volvo A/C Seater (2+2),23:55,08:35,08h 40m,INR 358,20 Seats available,"4.0
29",https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla
Ram Dalal Holidays,Mercedes Multi-Axle Semi Sleeper (2+2),23:30,07:40,08h 10m,550,29 Seats available,"4.6
589",https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla
Zingbus Plus,Bharat Benz A/C Semi Sleeper (2+2),22:55,09:05,10h 10m,483,17 Seats available,"4.3
464",https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla
Laxmi holidays,Bharat Benz A/C Semi Sleeper (2+2),22:50,07:40,08h 50m,INR 499,40 Seats available,"4.0
307",https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla
City Land Travels,Volvo A/C Semi Sleeper (2+2),22:30,06:00,07h 30m,673,20 Seats available,"3.3
349",https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla
City Land Travels,Volvo Multi-Axle I-Shift B11R Semi Sleeper (2+2),23:55,07:25,07h 30m,709,37 Seats available,"3.7
387",https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla
Heera Himachal Holidays,Volvo A/C Semi Sleeper (2+2),21:30,06:30,09h 00m,INR 1049,22 Seats available,"3.0
8",https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla
HRTC - 1515,Ordinary 3+2 Non AC Seater,13:20,20:15,06h 55m,INR 373,37 Seats available,"3.2
5",https://www.redbus.in/bus-tickets/chandigarh-to-hamirpur-himachal-pradesh,Chandigarh to Hamirpur (Himachal Pradesh)
HRTC - 1529,Ordinary 3+2 Non AC Seater,13:56,19:05,05h 09m,INR 364,37 Seats available,"3.2
8",https://www.redbus.in/bus-tickets/chandigarh-to-hamirpur-himachal-pradesh,Chandigarh to Hamirpur (Himachal Pradesh)
HRTC - 1516,A/C Executive (2+3),15:00,18:50,03h 50m,INR 340,15 Seats available,"4.3
105",https://www.redbus.in/bus-tickets/chandigarh-to-hamirpur-himachal-pradesh,Chandigarh to Hamirpur (Himachal Pradesh)
HRTC - 1546,Ordinary 3+2 Non AC Seater,16:25,21:15,04h 50m,INR 334,27 Seats available,"2.5
6",https://www.redbus.in/bus-tickets/chandigarh-to-hamirpur-himachal-pradesh,Chandigarh to Hamirpur (Himachal Pradesh)
HRTC - 9235,A/C Executive (2+3),16:40,22:00,05h 20m,INR 399,44 Seats available,"4.5
13",https://www.redbus.in/bus-tickets/chandigarh-to-hamirpur-himachal-pradesh,Chandigarh to Hamirpur (Himachal Pradesh)
HRTC - 401670,Ordinary 3+2 Non AC Seater,18:00,22:00,04h 00m,INR 310,35 Seats available,"3.9
16",https://www.redbus.in/bus-tickets/chandigarh-to-hamirpur-himachal-pradesh,Chandigarh to Hamirpur (Himachal Pradesh)
HRTC - 1549,Ordinary 3+2 Non AC Seater,18:15,01:00,06h 45m,INR 362,37 Seats available,3.9,https://www.redbus.in/bus-tickets/chandigarh-to-hamirpur-himachal-pradesh,Chandigarh to Hamirpur (Himachal Pradesh)
Laxmi holidays,Volvo A/C Semi Sleeper (2+2),20:20,01:15,04h 55m,664,21 Seats available,"4.6
10",https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-chandigarh,Hamirpur (Himachal Pradesh) to Chandigarh
Northern Travels,Volvo A/C Semi Sleeper (2+2),21:45,01:15,03h 30m,702,26 Seats available,"5.0
4",https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-chandigarh,Hamirpur (Himachal Pradesh) to Chandigarh
Ram Dalal Holidays,Volvo A/C Semi Sleeper (2+2),21:15,01:20,04h 05m,900,13 Seats available,"4.8
14",https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-chandigarh,Hamirpur (Himachal Pradesh) to Chandigarh
Ram Dalal Holidays,Volvo A/C Semi Sleeper (2+2),22:00,03:10,05h 10m,950,25 Seats available,4.5,https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-chandigarh,Hamirpur (Himachal Pradesh) to Chandigarh
RSRTC - 192348,Super Luxury Volvo AC Seater Pushback 2+2,16:30,02:00,09h 30m,INR 1117,25 Seats available,"2.8
14",https://www.redbus.in/bus-tickets/shimla-to-delhi,Shimla to Delhi
Bedi Travels,Volvo A/C Semi Sleeper (2+2),21:30,05:30,08h 00m,684,11 Seats available,"4.5
768",https://www.redbus.in/bus-tickets/shimla-to-delhi,Shimla to Delhi
Ram Dalal Holidays,Mercedes Multi-Axle Semi Sleeper (2+2),21:00,05:45,08h 45m,750,11 Seats available,"4.5
526",https://www.redbus.in/bus-tickets/shimla-to-delhi,Shimla to Delhi
Zingbus Plus,Bharat Benz A/C Semi Sleeper (2+2),20:30,04:40,08h 10m,736,11 Seats available,"4.4
453",https://www.redbus.in/bus-tickets/shimla-to-delhi,Shimla to Delhi
