Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
SHYAMOLI Pvt. Ltd.(Karunamoyee),Volvo A/C Seater (2+2),11:00,15:00,04h 00m,INR 486,1 Seat available,"3.9
108",https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Durgapur to Calcutta
Greenline (Karunamoyee),Volvo A/C Seater (2+2),12:00,15:50,03h 50m,INR 486,17 Seats available,"4.7
201",https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Durgapur to Calcutta
Shyamoli Paribahan Pvt Ltd,Volvo A/C Seater (2+2),12:25,16:15,03h 50m,INR 486,27 Seats available,"4.4
260",https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Durgapur to Calcutta
Greenline,Volvo A/C Seater (2+2),12:30,16:20,03h 50m,INR 486,17 Seats available,4.3,https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Durgapur to Calcutta
SHYAMOLI Pvt. Ltd.(Karunamoyee),Volvo A/C Seater (2+2),12:30,16:30,04h 00m,INR 486,16 Seats available,"4.3
252",https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Durgapur to Calcutta
Greenline (Karunamoyee),Volvo A/C Seater (2+2),13:10,17:10,04h 00m,INR 486,18 Seats available,"4.5
162",https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Durgapur to Calcutta
SHYAMOLI Pvt. Ltd.(Karunamoyee),Volvo Multi-Axle A/C Semi Sleeper (2+2),13:45,17:45,04h 00m,INR 486,18 Seats available,"4.4
312",https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Durgapur to Calcutta
Shyamoli Paribahan Pvt Ltd,Volvo A/C Seater (2+2),14:10,18:00,03h 50m,INR 486,23 Seats available,"3.8
216",https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Durgapur to Calcutta
Express Line (Karunamoyee),Volvo 9600 A/C Seater (2+2),14:20,18:10,03h 50m,INR 486,10 Seats available,"4.5
355",https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Durgapur to Calcutta
Greenline,Volvo A/C Seater (2+2),14:50,18:50,04h 00m,INR 486,18 Seats available,"4.4
121",https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Durgapur to Calcutta
Express Line,Volvo A/C Seater (2+2),10:25,12:35,02h 10m,INR 429,34 Seats available,"4.8
15",https://www.redbus.in/bus-tickets/kolkata-to-burdwan,Kolkata to Burdwan
SHYAMOLI Pvt. Ltd.(Karunamoyee),Volvo A/C Seater (2+2),10:30,12:45,02h 15m,INR 429,19 Seats available,"4.7
39",https://www.redbus.in/bus-tickets/kolkata-to-burdwan,Kolkata to Burdwan
